draft_year,round,pick,player,drafted_by,college,rookie_games,rookie_half_ppr_total,wk15_17_half_ppr_total,wk15_17_games_played,wk15_17_best_week,any_wk15_17_ge_15,any_wk15_17_ge_20
2023,5,150,Justin Shorter,BUF,Florida,0,0.0,0.0,0,0.0,False,False
2023,7,256,Grant Dubose,GNB,Charlotte,0,0.0,0.0,0,0.0,False,False
2024,3,84,Roman Wilson,PIT,Michigan,0,0.0,0.0,0,0.0,False,False
2024,6,191,Tejhaun Palmer,ARI,Ala-Birmingham,0,0.0,0.0,0,0.0,False,False
2024,7,225,Brenden Rice,LAC,USC,0,0.0,0.0,0,0.0,False,False
2024,7,241,Tahj Washington,MIA,USC,0,0.0,0.0,0,0.0,False,False
2024,7,253,Cornelius Johnson,LAC,Michigan,0,0.0,0.0,0,0.0,False,False
2025,6,203,LaJohntay Wester,BAL,Colorado,14,0.0,0.0,3,0.0,False,False
2025,7,238,Ricky White,SEA,UNLV,0,0.0,0.0,0,0.0,False,False
2025,7,240,Kaden Prather,BUF,Maryland,0,0.0,0.0,0,0.0,False,False
2025,7,244,Dominic Lovett,DET,Georgia,2,0.0,0.0,0,0.0,False,False
2025,7,252,Junior Bergen,SFO,Montana,0,0.0,0.0,0,0.0,False,False
2021,6,205,Racey McMath,TEN,LSU,6,-0.2,-1.6,2,0.0,False,False
